"Invoice _ID",cogs,tax_12%,revenue,gross_margin_per
101-17-6199,320.53,38.46,358.99,10.713
101-81-4070,125.64,15.08,140.72,10.716
102-06-2002,126.25,15.15,141.4,10.714
102-77-2261,457.17,54.86,512.03,10.714
105-10-6182,42.96,5.16,48.12,10.723
105-31-1824,486.64,58.4,545.04,10.715
106-35-6779,88.68,10.64,99.32,10.713
109-28-2512,585.66,70.28,655.94,10.714
109-86-4363,420.56,50.47,471.03,10.715
110-05-6330,236.58,28.39,264.97,10.714
110-48-7033,130.48,15.66,146.14,10.716
114-35-5271,463.28,55.59,518.87,10.714
115-38-7388,81.44,9.77,91.21,10.712
115-99-4379,383.11,45.97,429.08,10.714
118-62-1812,313.52,37.62,351.14,10.714
120-06-4233,183.66,22.04,205.7,10.715
120-54-2248,144.3,17.32,161.62,10.716
122-61-9553,461.88,55.43,517.31,10.715
123-19-1176,465.76,55.89,521.65,10.714
123-35-4896,419.94,50.39,470.33,10.714
124-31-1458,238.77,28.65,267.42,10.713
125-45-2293,594.6,71.35,665.95,10.714
126-54-1082,193.86,23.26,217.12,10.713
127-47-6963,206.84,24.82,231.66,10.714
129-29-8530,313.1,37.57,350.67,10.714
130-67-4723,291,34.92,325.92,10.714
130-98-8941,449.82,53.98,503.8,10.715
131-15-8856,580.16,69.62,649.78,10.714
131-70-8179,276.27,33.15,309.42,10.714
132-23-6451,104.85,12.58,117.43,10.713
132-32-9879,375.84,45.1,420.94,10.714
133-14-7229,125.74,15.09,140.83,10.715
133-77-3154,240.72,28.89,269.61,10.715
134-54-4720,339.36,40.72,380.08,10.714
134-75-2619,135.24,16.23,151.47,10.715
135-13-8269,157.76,18.93,176.69,10.714
135-84-8019,701.37,84.16,785.53,10.714
136-08-6195,559.68,67.16,626.84,10.714
137-63-5492,587.6,70.51,658.11,10.714
137-74-8729,97.52,11.7,109.22,10.712
138-17-5109,802.89,96.35,899.24,10.715
139-20-0155,403,48.36,451.36,10.714
139-32-4183,877.32,105.28,982.6,10.714
139-52-2867,157.57,18.91,176.48,10.715
142-63-6033,461.8,55.42,517.22,10.715
142-72-4741,186.4,22.37,208.77,10.715
